SIDNEY                         => Hi, I'm Sidney. And I love to TEC-9. The popular TEC-9 is advertised by its makers as being tough as the toughest customer.
ORDELL                         => Oh, that's just my white friend, Louis. He's got nothing to do with my business. We just hangin together. We're on our way to a cocktail lounge.
ORDELL                         => Who's that big Mandingo nigga you gotcha arm around?
MAX                            => That's Winston. He works here.
ORDELL                         => He's a big one. You two tight?
MAX                            => Yeah.
ORDELL                         => It was our idea to take the picture, wasn't it?
MAX                            => So, you want a ten-thousand dollar bond. What've you got for collateral?
ORDELL                         => Gonna have to put up cash.
MAX                            => You have it with you?
ORDELL                         => It's in my bag.
MAX                            => You have cash. What do you need me for?
ORDELL                         => C'mon, you know how they do. Black man comes in with ten thousand, they wanna fuck with 'em. First off, they gonna wanna know where I got it. Second, they gonna keep a big chunk of it - start talkin' that court cost shit. Fuck that shit, Jack. I'll go through you.
MAX                            => Cost you a thousand for the bond.
ORDELL                         => I know that.
MAX                            => Who's it for? A relative?
ORDELL                         => Fella named Beaumont. They have him up at county. It started out drunk driving, but they wrote it up "possession of a concealed weapon." Dumb monkey-ass had a pistol on him.
MAX                            => Ten thousand sounds high.
ORDELL                         => They ran his name and got a hit. He's been in before. Besides, Beaumont's from Kentucky, and I think they're prejudiced against black men from the South out here.
MAX                            => He takes off and I gotta go to Kentucky to bring him back, you pay the expenses.
ORDELL                         => You think you could do that?
MAX                            => I've done it.
MAX                            => What's his full name?
ORDELL                         => Beaumont. That's the only name I know.
MAX                            => Records office.
MAX                            => Hello, this is Max Cherry. Cherry Bail Bonds. Who's this?  Hi, Vicki. Look, Vicki, I need you to look up the booking card and rough arrest on a defendant named Beaumont.  That's all I have. I believe it's a surname but I'm not sure. Thanks.
LOUIS                          => I'm going to wait in the car.
ORDELL                         => Sure.  We almost done, ain't we?
MAX                            => Getting there.
ORDELL                         => You go wait in the car. Wait a minute.
ORDELL                         => Take the keys, man. Listen to music.
LOUIS                          => Which one is for the car?
ORDELL                         => This one's for the ignition... (holding a little black box) ... but you gotta hit this thing to shut the alarm off and unlock the door.
LOUIS                          => What do I do?
ORDELL                         => You ain't got to do nothing. Just point at it and push the button. You'll hear the car go "bleep." That means the alarm's off and the doors are open.
LOUIS                          => Okay.
ORDELL                         => Now play the volume as loud as you want but don't touch my levels. I got them set just the way I want 'em.
MAX                            => Beaumont Livingston.
ORDELL                         => Livingston, huh?
MAX                            => On his prior, he served nine months, and he's working on four years' probation.
ORDELL                         => You don't say.
MAX                            => Do you know what he's on probation for?
ORDELL                         => Haven't a clue.
MAX                            => Possession of unregistered machine guns.
ORDELL                         => Will they consider this a violation of his probation?
MAX                            => They do consider this a violation of his probation. Your boy's looking at ten years, plus the concealed weapon.
ORDELL                         => Man, he won't like that. Beaumont don't got a doin' time disposition.
MAX                            => I need your name and address.
ORDELL                         => Ordell Robbie. O-R-D-E-L-L. R-O-B-B-I- E. 1436 Florence Boulevard. Compton 90222.
MAX                            => House or apartment?
ORDELL                         => House.
MAX                            => Now I need you to count your money.
ORDELL                         => Hope you don't mind me askin' where you keepin' my money till I get it back. In your drawer?
MAX                            => Across the street a Great Western. It goes in a trust account. You'll need to fill out an Application for Appearance Bond, an Indemnity Agreement, a Contingent Promissory Note. That's the one, if Beaumont skips and I go after him, you pay the expenses.
ORDELL                         => Beaumont ain't going nowhere. (he takes a pen out of his pocket) Where do I sign?
ORDELL                         => Hey, Max.
MAX                            => Yes.
ORDELL                         => I was wondering. What if before the court date gets here, Beaumont gets hit by a bus or something and dies. (he puts the form down and looks at Max) I get my money back, don't I?
BEAUMONT                       => Who is it?
ORDELL                         => It's your benefactor, nigga. Buzz me up.
ORDELL                         => Look at you and your free ass. Come over and give me a motherfuckin' hug.
BEAUMONT                       => What the fuck can I say? I'm serious, man. What the fuck can I say? Thank you... thank you... thank you.
ORDELL                         => Who was there for your ass?
BEAUMONT                       => You were there for me.
ORDELL                         => Who?
BEAUMONT                       => You.
ORDELL                         => You goddam right!
ORDELL                         => You see,it works like this. You get your ass in trouble, I get your ass out. That's my job. And I don't mind tellin ya, nigga, it's steady work.
BEAUMONT                       => I'm still scared as a motherfucker, Ordell. They talkin' like they serious 'bout me doin' that machine gun time.
ORDELL                         => Naw, man. They just tryin' to put a fright in your ass.
BEAUMONT                       => If that's what they want to do, they're doin' it.
ORDELL                         => How old is that machine gun shit?
BEAUMONT                       => Three years.
ORDELL                         => Three years. That crime's old, man. They ain't got room in prison for all the motherfuckers out there killin' people. How they gonna find room for you?
BEAUMONT                       => That's not what they're tellin' me.
ORDELL                         => That's why they call it "fuckin' with ya." Now you wanna hear how we retaliate?
ORDELL                         => Tomorrow I pick you up, take you to Century City, meet my lawyer. Now let me tell you a little bit about my lawyer. His name is Stacin Goins and this nigga is a junkyard dog! He's my own private Johnie Cochran. In fact, he'd kick Johnie Cochran's ass. And like Johnie Cochran, dude hates fuckin' cops. I'm serious, this man lives to fuck with the police. So as a favor, I had him look at your case. Stacin told me you aint got shit to worry about. They just fuckin' wit ya. So we sic the junkyard dog on their ass, make 'em -  ... Stop fuckin' wit ya!
BEAUMONT                       => Hey, c'mon in, man. I was just - you know - smokin' a fatty, watchin' TV.
ORDELL                         => Naw, man. I gotta be someplace. I was kinda hopin you could come with me.
BEAUMONT                       => What'd ya mean?
ORDELL                         => Look, I hate to be the kinda nigga, does a nigga a favor - then BAM - hits a nigga up for a favor in return. But I'm afraid I gotta be that kinda nigga.
BEAUMONT                       => What?
ORDELL                         => I need a favor.
BEAUMONT                       => That requires me goin out tonight?
ORDELL                         => A bit.
BEAUMONT                       => Aaaaawww man, I wasn't plannin' on goin no place. It's twelve o'clock, man. I'm home, I'm high -
ORDELL                         => Why the fuck you at home? Cause I spent ten thousand dollars gittin' your ass home.  Look, I gotta problem. I need help, and you can help me.
BEAUMONT                       => What's the problem?
ORDELL                         => Well, it ain't so much a problem a a situation. Remember I sold those three M-60 machine guns outta the five I got?
BEAUMONT                       => Uh-huh.
ORDELL                         => I'm gonna sell the other two tonight. This group of Koreans in Koreatown have started a Neighborhood Watch kinda thing. And they want a few weapons so the neighborhood niggas know they mean business. So I'm gonna sell 'em my two machine guns tonight. Only problem, I aint never dealt with these Koreans before. Now I aint worried. Asians are by and large real dependable. They don't want no trouble. You might argue about price, but you aint gotta worry about them shootin' you in the back. But I got me kind of a rule. Never do business with nobody you ain't never done business with before without backup. That's why I need you, backup.
BEAUMONT                       => Man, I ain't ready to be goin' out nowhere -
ORDELL                         => - Let me finish. Can I finish?
BEAUMONT                       => Go ahead.
ORDELL                         => Now you're gonn be in the trunk holding onto the shotgun. And I'm going to tell them I'm opening up my trunk to show 'em my goods. I open up the trunk, you pop up, rack that bad boy.
BEAUMONT                       => Fuck that shit, man. I ain't shootin' anybody.
ORDELL                         => What the fuck I tell you. You don't hafta shoot nobody. Just hold the gun. They'll get the idea.
BEAUMONT                       => I ain't gittin' in that trunk.
ORDELL                         => We're only goin' to Koreatown. You'll be in there - ten minutes.
BEAUMONT                       => Uh-uh. I ain't riding in that trunk no minutes. Why don't I just ride with you?
ORDELL                         => You can't ride with me. The surprise effect is ninety percent of it.
BEAUMONT                       => Well, I'm sorry, man, but I ain't gittin' in that trunk.
ORDELL                         => I can't believe you do me this way.
BEAUMONT                       => I ain't doin' you no way. I just ain't climbin' in that trunk. I got a problem with small places.
ORDELL                         => Well, my ass has got a problem spending ten thousand dollars of my own goddam money to get ungrateful, peanut-head niggas outta jail, but I do it -
BEAUMONT                       => Look, man, I know I owe you -
ORDELL                         => - Well, if you owe me, git your ass in the trunk.
BEAUMONT                       => - I wanna help you, but I don't wanna be locked in the trunk of no car.
ORDELL                         => You think I wanted to spend ten thousand dollars on your ass?
ORDELL                         => Answer the question, nigga. Do you think I wanted to spend the thousand dollars on your ass? Yes or no?
BEAUMONT                       => Course you didn't.
ORDELL                         => But the only way to help you was to do that, so I did it.  Okay, how 'bout this? After we're through fuckin' with these Koreans, I take you to Roscoe's Chicken and Waffles. My treat.
ORDELL                         => Just think, man. That Scoe's special, smothered in gravy and onions. Get a side of red beans and rice. Uuuuummmmm, that's some good eatin'.
BEAUMONT                       => Now exactly how long I gotta be in this motherfucker.
ORDELL                         => Don't worry. It's just me.
ORDELL                         => I was wondering. Did any federal people come visit you in jail and I should be watching my ass?
ORDELL                         => You wouldn't tell me if they did and I wouldn't blame you.
LOUIS                          => Hello.
ORDELL                         => Louis, my man. Watcha doin'?
LOUIS                          => Oh, I dunno. Watching TV.
ORDELL                         => Whatcha watchin'?
LOUIS                          => Nothin' really. Just kinda goin' back and forth. They had some black girl from some black show on Jay Leno. I watched that for a bit, but I kept flippin channels cause I didn't know who she was.
ORDELL                         => Guess where I am?
LOUIS                          => I dunno.
ORDELL                         => I know you don't know. I said guess.
LOUIS                          => The moon - I dunno
ORDELL                         => I'm talkin' to you from the comfy- cozy interior of an Oldsmobile parked outside your nasty-ass welfare motel.
LOUIS                          => You're outside?
ORDELL                         => Uh-huh.
LOUIS                          => C'mon in.
ORDELL                         => Naw, man. I just told you, I'm comfortable. I ain't about to walk into that roach motel and get uncomfortable. You bring your ass out here.
LOUIS                          => I'm in my underwear.
ORDELL                         => Then put your goddam drawers on, and get your ass out here. I got somethin' to show you.
ORDELL                         => You know what your problem is, Louis?
ORDELL                         => You think you're a good guy. When you go into a deal you don't go in prepared to take that motherfucker all the way. You go in looking for a way out. And it ain't cause you're scared neither. It's cause you think you're a good guy, and you think there's certain things a good guy won't do. That's where we're different, me and you. Cause me, once I decide I want something, aint a goddam motherfuckin' thing gonna stop me from gittin' it. I gotta use a gun get what I want, I'm gonna use a gun. Nigga gets in my way, nigga gonna get removed. Understand what I'm saying?
LOUIS                          => Who was that?
ORDELL                         => That was Beaumont.
LOUIS                          => Who was Beaumont?
ORDELL                         => An employee I had to let go.
LOUIS                          => What did he do?
ORDELL                         => He put himself in a situation where he was gonna have to do ten years in the penetentiary, that's what he did. (taking out a Viceroy and lighting it up) And if you know Beaumont, you know there aint no way in hell he can do no ten years. And if you know that, you know Beaumont's gonna go any goddam thing Beaumont can to keep from doin' those ten years including telling the Federal government everything they want to know about my ass. Now that, my friend, is a clear case of him or me. And you best believe it aint gonna be me. You know what I'm sayin'? You gonna come in on this with me, you gotta be prepared to go all the way. I got me so far over a half-a-million dollars sittin' in lockboxes in a bank in Cabo San Lucas. Me and Mr. Walker make us one more delivery, I'm gonna have me over a million. You think I'm gonna let this little cheese eatin' nigga here fuck that up? Shit, you better think again. 'Fore I let this deal get fucked up, I'll shoot that nigga in the head, and ten niggas look just like em.  Understand what I'm sayin'?
LOUIS                          => Yeah.
ORDELL                         => So we on the same page then?
LOUIS                          => I follow.
VOICE                          => Miss Brown.
DARGUS                         => Hi, I'm Detective Mark Dargus. L.A.P.D. can I ask what you have in that bag?
JACKIE                         => The usual things. I'm a flight attendant with Cabo Air.
NICOLET                        => Can I be of some assistance?
JACKIE                         => I doubt it.  Who's your friend?
DARGUS                         => This is Special Agent Ray Nicolet with Alcohol, Tobacco, and Firearms. Would you mind if we looked in that bag?
JACKIE                         => Would I mind? Do I have a choice?
DARGUS                         => You have the right to say "no." And I have the right to make you wait here with Ray while I go get a warrant. And if I don't want to go through all that trouble, I could just take you in on suspicion.
JACKIE                         => Suspicion of what?
NICOLET                        => All he wants to do is peek in your bag. I'll watch he doesn't take anything.
JACKIE                         => Go ahead.
DARGUS                         => I'd say there's about, oh, fifty thousand dollars here. What would you say Ray?
NICOLET                        => That looks like fifty thousand dollars from here.
DARGUS                         => This is your money?
JACKIE                         => If I were to tell you "no it isn't..."
DARGUS                         => You should know if you bring in anything over ten thousand you have to declare it. You forgot or what? You could get a two hundred and fifty thousand dollar fine, plus two years in prison. Now you want to talk to us about it, or you want to talk to Customs?
JACKIE                         => I'm not saying another word.
NICOLET                        => Listen, Jackie, Hope you don't mind if I call you Jackie. They're a bunch of fuckin' pricks in Customs. Something about that job makes them kinda hard to get along with. Now, do you want to talk with a bunch of suspicious, disagreeable people like them, or a couple good-hearted guys like Mark and myself.
DARGUS                         => Hey, this is my office. There's no smoking.
JACKIE                         => Arrest me.
DARGUS                         => We could, smart ass... or we could work out what's known as a Substantial Assistance Agreement. That is if you're willing to cooperate. Tell us who gave you the money and who you're giving it to.
NICOLET                        => You got a good lawyer?
DARGUS                         => Can she afford a good one is the question. Otherwise she'll be in Sybill Brand three weeks easy before the Public Defender gets around to her.
NICOLET                        => Ever heard of a fella named Beaumont Livingston?
NICOLET                        => Don't know Beaumont? That's funny 'cause Beaumont knows you. Well he did know you, Beaumont was found in the trunk of a car - dead. Shot twice. Once in the head and once in the chest.
NICOLET                        => I had the chance to talk to Beaumont yesterday. You see, like you, Beaumont found himself in some hot water. He was looking at ten years he was pretty sure he didn't want to do and was understandably concerned. Now maybe you don't know Beaumont, but Beaumont knew you, and maybe so does the guy who blew Beaumont's head off.
DARGUS                         => If you don't want to talk to us, I guess we'll just have to hand you over to Customs.
JACKIE                         => Okay, let's go.
DARGUS                         => You know, Miss Brown, there's basically three types of people that we come along in the performance of our duty. One is, INNOCENT PEOPLE. Victims, witnesses, innocent bystanders... You ain't any of these. Then there's two; CRIMINALS. These sonabitches have dedicated their lives to a life outside the law. That ain't you either. Where you belong is the third category. The category we refer to as LOSERS.
JACKIE                         => I'm not a loser.
DARGUS                         => Oh, you're both? In 1985 you were flying for TWA and got busted for carrying drugs. You were carrying them for a pilot husband of yours. He did time and you got off. But that ended your career with the big airlines. Cut to thirteen years later. You're forty-four years of age. You're flying for the shittiest little shuttle-fucking piece of shit Mexican airline that there is. Where you make a whopping twelve-thousand dollars a year. That ain't a hulluva lot to show for a twenty year career. And to top it off, you're going to jail. Now true, the judge, even with your prior, will probably only give you a year or two. But this doesn't seem like the time of life you got years to throw away.  Now, we don't like trying losers like they're criminals. But in the absence of a criminal, we will try you. Now, wasn't this money given to you by an American living in Mexico by the name of Cedric Walker?
NICOLET                        => You know, ol' Beaumont wasn't much for talkin', either. Yeah, he told us about you and Mr. Walker, but whoever the hell it was he worked for out here, he wouldn't say. Could it be the same person you were supposed to deliver this money to?
DARGUS                         => I'd like your permission to open this again. So we'll know exactly how much money we're talkin' about here.
JACKIE                         => Help yourself.
DARGUS                         => While you're at it, let me see what else is in there. You mind?
JACKIE                         => My pocketbook.
DARGUS                         => What's in it?
JACKIE                         => Beauty products.
NICOLET                        => I'll count the money.
DARGUS                         => What's this?
JACKIE                         => That's my diet shit.
DARGUS                         => Let's see what else is in there.
NICOLET                        => Oh, Miss Brown?
JACKIE                         => Yeah?
NICOLET                        => And what would this be, Sweet and Low?
JACKIE                         => What the fuck is that shit?
NICOLET                        => I know what it looks like.
JACKIE                         => You planted that shit on me.
JACKIE                         => Look, that shit ain't mine.
NICOLET                        => It isn't enough for Trafficking, but how 'bout Posession with the Intent to Distribute?
DARGUS                         => Oh, I wouldn't be so sure. What with all the cash, I think I could go with Conspiracy to Traffic.
JACKIE                         => I'm tellin' you, I don't know nothin' about that fuckin' shit.
NICOLET                        => Well then, Miss Brown. Why don't you have a seat and tell us who might know something about this fuckin' shit.
DARGUS                         => If she'll cooperate with us, we'll turn possession with intent into plain ol' Possession, and she can bond outta here for one thousand bucks. If she doesn't help us, we'll go for the Intent and request a twenty-five-thousand dollar bond.
JACKIE                         => You tell those guys they'll have to do one helluva lot better than that before I'll even say 'hi' to them.
PUBLIC DEFENDER                => Well, that's the State's offer. If you plead to possession and tell L.A.P.D. what they want to know, your bond will be set at one-thousand dollars. If you don't, L.A.P.D. will request one at twenty- five thousand based on your prior record and risk of flight. If you don't post it or don't know anyone who can, you'll spend six to eight weeks in County before your arraignment comes up.
JACKIE                         => Who's side are you on?
PUBLIC DEFENDER                => I beg your pardon?
JACKIE                         => What if I plead guilty?
PUBLIC DEFENDER                => And cooperate? You might get probation.
JACKIE                         => If I don't cooperate?
PUBLIC DEFENDER                => With the prior? You could get anywhere from a year to five depending on the judge. You want to think about it? You got two minutes before we're up.
JUDGE                          => Brown. Case number 700324.
JUDGE                          => The charge is possession of Narcotics with the Intent to Distribute. How does your client plead?
PUBLIC DEFENDER                => She wishes to stand mute, your honor.
JUDGE                          => Very well...  ... Detective Dargus - You're the arresting officer in his case, correct?
DARGUS                         => That's correct, your honor.
JUDGE                          => You have a recommendation for bail?
DARGUS                         => Yes, I do, your honor. Based on the defendant's prior conviction and the extreme possibility of flight due to her occupation, the State requests a bond of no less than twenty-five thousand.
JUDGE                          => I'll set bond at ten thousand and set the date of August 14th for the arraignment.
JACKIE                         => When is that, your honor?
JUDGE                          => That's six weeks from now, Miss Brown. We'll continue this matter then. Owens, case 72242.
ORDELL                         => Unh... unh... unh... I din't hear you wash your hands.
MAX                            => Comfortable?
ORDELL                         => The door was opened, so I just came right in.
MAX                            => I can see that. Why?
ORDELL                         => I got some more business for ya.
MAX                            => Oh, yeah? What did he do?
ORDELL                         => She is an airline stewardess. Got caught coming back from Mexico with some blow. They set her bond this afternoon at ten thousand. Now, what I was thinkin', you could use the ten thousand you owe me from Beaumont and move it over on to the stewardess.
MAX                            => The bond for possession is only a thousand.
ORDELL                         => They fuckin' wit' her. They callin' it Possession with Intent. A black woman in her forties gets busted with less than two ounces on her, they call that shit Intent. Same shit happened to a movie star. It's Possession.
MAX                            => It still sounds high.
ORDELL                         => She had, I believe it was... fifty grand on her, too. There was a cop at the hearing. Young guy with L.A.P.D. wanted her bond set at twenty-five thousand, saying there was a risk of flight. Jackie being a stewardess and all.
MAX                            => Before we start talking about stewardess, let's get Beaumont out of the way first.
ORDELL                         => Somebody already did.
MAX                            => What?
ORDELL                         => You didn't hear?
MAX                            => Hear what?
ORDELL                         => Somebody with a grudge blew Beaumont's brains out - hey, that rhymes - blew Beaumont's brains out.
MAX                            => Did the police contact you?
ORDELL                         => Very first motherfuckin' thing they did. They see I put up a big money bond on my boy, they start thinking with that where-there's-smoke-there's fire logic. They roust my ass outta bed, ten o'clock in the morning. Fuckin' scare my woman, Sherona, half to death. She thought they were gonna take my ass away for sure.
MAX                            => The stewardess. Do you know her last name?
ORDELL                         => Brown, Jackie Brown.
MAX                            => What does she do for you?
ORDELL                         => Who says she does anything for me? She's my friend. When my friends get into trouble, I like to help 'em out.
MAX                            => Beaumont worked for you.
ORDELL                         => That's what the police thought. I told them I'm unemployed, how could I have anybody work for me? Now I bail out Jackie, I'm liable to have the police on me again, huh? Wanting to know was she doing things for me, was she bringing me that money!
MAX                            => Was she?
ORDELL                         => Is this, me and you, like a lawyer- client relationship? The lawyer can't tell nothing he hears?
MAX                            => You're not my client until you get busted and I bond you out.
ORDELL                         => If there's no - what do you call it - confidentiality between us? Why would I tell you anything?
MAX                            => Cause you want me to know what a slick guy you are. You got stewardesses bringing you fifty grand.
ORDELL                         => Why would a stewardess bring me fifty grand?
MAX                            => You want me to speculate on what you do. I'd say you're in the drug business, except the money's moving in the wrong direction. Whatever you're into, you seem to be getting away with it, so more power to you. Okay you want another bond, and you want to move over the ten thousand you put down on Beaumont to the stewardess. That means paperwork. I have to get a death certificate, present it to the court, fill out a receipt for return of bond collateral, then type up another application. An indemnity agreement -
ORDELL                         => - Jackie aint got time for all that shit -
MAX                            => - I'm telling you what I have to do. What you have to do, in case you forgot, is come up with premium of a thousand bucks.
ORDELL                         => I got it. I just don't got it on me.
MAX                            => Well, come back when you do, and I'll bond out the stewardess.
ORDELL                         => Man, you know I'm good for it. Thousand bucks ain't shit.
MAX                            => If I don't see it in front of me, you're right. It ain't shit.
ORDELL                         => Man, you need to look at this with a little compassion. Jackie ain't no criminal. She ain't used to this kinda treatment. I mean, gangsters don't give a fuck - but for the average citizen, coupla nights in County fuck with your mind.
MAX                            => Ordell, this isn't a bar, an you don't have a tab.
ORDELL                         => Just listen for a second. We got a forty-year-old, gainfully employed black woman, falsely accused -
MAX                            => Falsely accused? She didn't come back from Mexico with cocaine on her?
ORDELL                         => Falsely accused of Intent. If she had that shit - and mind you, I said "if" - it was just her shit to get high with.
MAX                            => Is white guilt supposed to make me forget I'm running a business?
ORDELL                         => Okay, man. I got your money. But don't you ever ask me for no fuckin' favor.
MAX                            => Tomorrow I'll talk to your probation officer. Karen's a good kid, but she's mad at you, because you lied to her. This business about your grandmother's funeral
ANITA                          => I went. I did. I took my mother and little brother.
MAX                            => But you didn't ask permission. You broke a trust. If you had asked, Karen probably would have let you. I'm sure she would.
ANITA                          => I know. That's why I went.
MAX                            => But then you told her you were home.
ANITA                          => Sure, 'cause I didn't ask her if I could go.
MAX                            => I don't know. Maybe it's a language problem.  Anita, you ever cause this much heartache over something that could easily be avoided, I'll never write you again. You understand?
ANITA                          => I understand.
MAX                            => I mean it. I don't care how many times your mother calls or how much she cries.
ANITA                          => I understand.
MAX                            => Then say "Yes, Max. I understand."
ANITA                          => Yes, Max, I understand.
MAX                            => Dropping off and picking up. Dropping of Lopez, Anita. Picking up Brown, Jackie.
ANITA                          => So you're gonna call Karen tomorrow?
MAX                            => I'll call her.
ANITA                          => Won't forget?
MAX                            => I won't forget.
ANITA                          => Thanks, Max. See you later.
SHERIFF                        => Max! Here she comes.
MAX                            => Miss Brown... I'm Max Cherry. I'm your bail bondsman.
MAX                            => I can give you a lift home if you'd like?
JACKIE                         => Okay.
JACKIE                         => Are you really a bail bondsman?
MAX                            => Who do you think I am?
MAX                            => I gave you my card there.
JACKIE                         => Can I see your I.D.?
MAX                            => You're serious?
JACKIE                         => Who put up my bond? Ordell?
MAX                            => In cash.
JACKIE                         => Can we stop for cigarettes?
MAX                            => Sure, ever been to the Riverbottom?
JACKIE                         => I don't think so.
MAX                            => It's okay. It's a cop hangout.
JACKIE                         => Couldn't we just stop at a seven- eleven?
MAX                            => I thought you might want a drink?
JACKIE                         => I'd love one, but not there.
MAX                            => We could stop at the Hilton by the airport.
JACKIE                         => Is it dark?
MAX                            => It's kind of a sports bar
JACKIE                         => That doesn't sound dark.
MAX                            => Why does it need to be dark?
JACKIE                         => 'Cause I look like I just got outta jail, that's why. You droppin' me off at home, right? There's a place by me.
MAX                            => Great.
MAX                            => No thanks, I quit three years ago.
JACKIE                         => You gain weight?
MAX                            => Ten pounds. I lose it and put it back on.
JACKIE                         => That's why I don't quit. If I can't fly anymore, I'm gonna have a bitch of a time gettin' my brand.
MAX                            => What's your brand?
JACKIE                         => Davidoffs. I get 'em in Mexico. They're hard to find here. I was locked up with the last two getting legal advice from a woman who was in for bustin' her boyfriend's head open with a baseball bat.
MAX                            => Was she helpful?
JACKIE                         => She was more helpful than the fuckin' Public Defender.  I don't know - I guess what I need is a lawyer, find out what my options are.
MAX                            => You know, I figured out the other day I've written something like' fifteen thousand bonds since I've been in the business. I'd say about eighty percent of them were at least drug related. If you want, I can help you look at your options.
JACKIE                         => You're not tired of it?
MAX                            => I am, as a matter of fact.
MAX                            => What have they told you?
JACKIE                         => So far I've been told I can cooperate and get probation, maybe. Or, I can stand mute and get as much as five years. Does that sound right?
MAX                            => I'd say if you're tried and found guilty you won't get more than a year and a day. That's State time. Prison.
JACKIE                         => Shit.
MAX                            => But they won't want to take you to trial. They'll offer you simple Possession, a few months of County time, and a year or two probation.  How 'bout another?
JACKIE                         => Sure.
