,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.id,Input.movie,Input.home_url,Input.movie_url,Answer.imdb,Answer.title,Approve,Reject
10,306996CF6WY23Q680NMP44L3ZNH1B0,399N3OLPKFJCTR9BWVBMLXMRH83UHZ,Find IMDb url of movie script,Find the IMDb url of the given movie script,"movies, IMDb, IMSDb",$0.02,Sat Nov 30 15:55:04 PST 2019,2,BatchId:3853802;OriginalHitTemplateId:928390855;,3600,259200,Sat Dec 07 15:55:04 PST 2019,,,30IQTZXKALKCVOMLZ2F93GP6H730X8,A27B3C18KT7RA,Submitted,Sat Nov 30 16:45:04 PST 2019,Sat Nov 30 17:30:46 PST 2019,Tue Dec 03 17:30:46 PST 2019,,,,2742,0% (0/0),0% (0/0),0% (0/0),872,her,http://www.imsdb.com/Movie%20Scripts/Her%20Script.html,http://www.imsdb.com/scripts/Her.html,https://www.google.com/search?q=Her+Script&oq=Her+Script&aqs=chrome..69i57j69i60.951j0j7&sourceid=chrome&ie=UTF-8,Her Script,,We are sorry to inform you that your annotation was rejected because the IMDb url submitted did not link to an IMDb page.
11,306996CF6WY23Q680NMP44L3ZNH1B0,399N3OLPKFJCTR9BWVBMLXMRH83UHZ,Find IMDb url of movie script,Find the IMDb url of the given movie script,"movies, IMDb, IMSDb",$0.02,Sat Nov 30 15:55:04 PST 2019,2,BatchId:3853802;OriginalHitTemplateId:928390855;,3600,259200,Sat Dec 07 15:55:04 PST 2019,,,30LSNF239V9M1304F3JMJUV6QSII29,A6CGMZ30CITVW,Submitted,Sat Nov 30 16:42:17 PST 2019,Sat Nov 30 16:43:05 PST 2019,Tue Dec 03 16:43:05 PST 2019,,,,48,0% (0/0),0% (0/0),0% (0/0),872,her,http://www.imsdb.com/Movie%20Scripts/Her%20Script.html,http://www.imsdb.com/scripts/Her.html,https://www.imdb.com/title/tt1798709/,HER,x,
12,306W7JMRYYCKEQQTZ8V4JE8BDTMB8T,399N3OLPKFJCTR9BWVBMLXMRH83UHZ,Find IMDb url of movie script,Find the IMDb url of the given movie script,"movies, IMDb, IMSDb",$0.02,Sat Nov 30 15:54:42 PST 2019,2,BatchId:3853802;OriginalHitTemplateId:928390855;,3600,259200,Sat Dec 07 15:54:42 PST 2019,,,3GU1KF0O4JF862N4BR2HTKZM6CPBPF,A3I67WKMTIFZFF,Submitted,Sat Nov 30 16:25:10 PST 2019,Sat Nov 30 16:25:49 PST 2019,Tue Dec 03 16:25:49 PST 2019,,,,39,0% (0/0),0% (0/0),0% (0/0),1492,rescuers_down_under_the,"http://www.imsdb.com/Movie%20Scripts/Rescuers%20Down%20Under,%20The%20Script.html","http://www.imsdb.com/scripts/Rescuers-Down-Under,-The.html","https://www.imsdb.com/scripts/Rescuers-Down-Under,-The.html",Rescuers: Down Under,,We are sorry to inform you that your annotation was rejected because the IMDb url submitted did not link to an IMDb page.
13,306W7JMRYYCKEQQTZ8V4JE8BDTMB8T,399N3OLPKFJCTR9BWVBMLXMRH83UHZ,Find IMDb url of movie script,Find the IMDb url of the given movie script,"movies, IMDb, IMSDb",$0.02,Sat Nov 30 15:54:42 PST 2019,2,BatchId:3853802;OriginalHitTemplateId:928390855;,3600,259200,Sat Dec 07 15:54:42 PST 2019,,,3OONKJ5DKDXQL2B3WRP24KUWW7SOBA,A3EFF73I0ME06L,Submitted,Sat Nov 30 16:19:14 PST 2019,Sat Nov 30 16:20:06 PST 2019,Tue Dec 03 16:20:06 PST 2019,,,,52,0% (0/0),0% (0/0),0% (0/0),1492,rescuers_down_under_the,"http://www.imsdb.com/Movie%20Scripts/Rescuers%20Down%20Under,%20The%20Script.html","http://www.imsdb.com/scripts/Rescuers-Down-Under,-The.html",https://www.imdb.com/title/tt0102926/?ref_=tt_sims_tt,The Silence of the Lambs,,We are sorry to inform you that your annotation was rejected because the IMDb url submitted did not link to the correct movie
14,307FVKVSYRTWTD01AOTBX06ASH047U,399N3OLPKFJCTR9BWVBMLXMRH83UHZ,Find IMDb url of movie script,Find the IMDb url of the given movie script,"movies, IMDb, IMSDb",$0.02,Sat Nov 30 15:55:09 PST 2019,2,BatchId:3853802;OriginalHitTemplateId:928390855;,3600,259200,Sat Dec 07 15:55:09 PST 2019,,,3P1L2B7AD232YBXFN4EWINQ1818LOW,A2ECRNQ3X5LEXD,Submitted,Sat Nov 30 16:44:46 PST 2019,Sat Nov 30 16:45:06 PST 2019,Tue Dec 03 16:45:06 PST 2019,,,,20,0% (0/0),0% (0/0),0% (0/0),2098,wild_things_diamonds_in_the_rough,http://www.imsdb.com/Movie%20Scripts/Wild%20Things:%20Diamonds%20in%20the%20Rough%20Script.html,http://www.imsdb.com/scripts/Wild-Things-Diamonds-in-the-Rough.html,https://www.imdb.com/title/tt0448179/,Wild Things: Diamonds in the Rough,x,
15,307FVKVSYRTWTD01AOTBX06ASH047U,399N3OLPKFJCTR9BWVBMLXMRH83UHZ,Find IMDb url of movie script,Find the IMDb url of the given movie script,"movies, IMDb, IMSDb",$0.02,Sat Nov 30 15:55:09 PST 2019,2,BatchId:3853802;OriginalHitTemplateId:928390855;,3600,259200,Sat Dec 07 15:55:09 PST 2019,,,3SB5N7Y3O4I192RVASF5FUPBEH60GF,A3KQEFX15OV461,Submitted,Sat Nov 30 16:35:21 PST 2019,Sat Nov 30 16:36:52 PST 2019,Tue Dec 03 16:36:52 PST 2019,,,,91,100% (50/50),0% (0/0),0% (0/0),2098,wild_things_diamonds_in_the_rough,http://www.imsdb.com/Movie%20Scripts/Wild%20Things:%20Diamonds%20in%20the%20Rough%20Script.html,http://www.imsdb.com/scripts/Wild-Things-Diamonds-in-the-Rough.html,https://www.imdb.com/title/tt0448179/?ref_=fn_al_tt_1,Wild Things: Diamonds in the Rough,x,
16,307L9TDWJY60E29KQH5HJS0UEW93NJ,399N3OLPKFJCTR9BWVBMLXMRH83UHZ,Find IMDb url of movie script,Find the IMDb url of the given movie script,"movies, IMDb, IMSDb",$0.02,Sat Nov 30 15:55:02 PST 2019,2,BatchId:3853802;OriginalHitTemplateId:928390855;,3600,259200,Sat Dec 07 15:55:02 PST 2019,,,3OLF68YTNAFRWFTIRA6GMF1CMOIFAM,AYFD78FXIRIZS,Submitted,Sat Nov 30 16:41:23 PST 2019,Sat Nov 30 16:41:53 PST 2019,Tue Dec 03 16:41:53 PST 2019,,,,30,0% (0/0),0% (0/0),0% (0/0),1320,nightmare_before_christmas_the,"http://www.imsdb.com/Movie%20Scripts/Nightmare%20Before%20Christmas,%20The%20Script.html","http://www.imsdb.com/scripts/Nightmare-Before-Christmas,-The.html",https://www.imdb.com/title/tt0107688/?ref_=fn_al_tt_2,The Nightmare Before Christmas,x,
17,307L9TDWJY60E29KQH5HJS0UEW93NJ,399N3OLPKFJCTR9BWVBMLXMRH83UHZ,Find IMDb url of movie script,Find the IMDb url of the given movie script,"movies, IMDb, IMSDb",$0.02,Sat Nov 30 15:55:02 PST 2019,2,BatchId:3853802;OriginalHitTemplateId:928390855;,3600,259200,Sat Dec 07 15:55:02 PST 2019,,,3QXNC7EIPJ9MUS4NWM9VND3OA4B09O,A2S37P50AYCUYV,Submitted,Sat Nov 30 16:34:15 PST 2019,Sat Nov 30 16:34:38 PST 2019,Tue Dec 03 16:34:38 PST 2019,,,,23,0% (0/0),0% (0/0),0% (0/0),1320,nightmare_before_christmas_the,"http://www.imsdb.com/Movie%20Scripts/Nightmare%20Before%20Christmas,%20The%20Script.html","http://www.imsdb.com/scripts/Nightmare-Before-Christmas,-The.html","https://www.imsdb.com/scripts/Nightmare-Before-Christmas,-The.html",The Nightmare Before Christmas,,We are sorry to inform you that your annotation was rejected because the IMDb url submitted did not link to an IMDb page.
18,308KJXFUJRKYT0DPWS63FZKS9OMTA5,399N3OLPKFJCTR9BWVBMLXMRH83UHZ,Find IMDb url of movie script,Find the IMDb url of the given movie script,"movies, IMDb, IMSDb",$0.02,Sat Nov 30 15:54:51 PST 2019,2,BatchId:3853802;OriginalHitTemplateId:928390855;,3600,259200,Sat Dec 07 15:54:51 PST 2019,,,33IZTU6J82FCWX6X84YTDMVPCZISXJ,A10463CXXO00VE,Submitted,Sat Nov 30 16:03:21 PST 2019,Sat Nov 30 16:05:16 PST 2019,Tue Dec 03 16:05:16 PST 2019,,,,115,0% (0/0),0% (0/0),0% (0/0),1657,south_park,http://www.imsdb.com/Movie%20Scripts/South%20Park%20Script.html,http://www.imsdb.com/scripts/South-Park.html,https://www.imdb.com/title/tt0158983/?ref_=nv_sr_srsg_3,"South Park: Bigger, Longer & Uncut",x,
19,308KJXFUJRKYT0DPWS63FZKS9OMTA5,399N3OLPKFJCTR9BWVBMLXMRH83UHZ,Find IMDb url of movie script,Find the IMDb url of the given movie script,"movies, IMDb, IMSDb",$0.02,Sat Nov 30 15:54:51 PST 2019,2,BatchId:3853802;OriginalHitTemplateId:928390855;,3600,259200,Sat Dec 07 15:54:51 PST 2019,,,3PEIJLRY6U753EN6S98UABYAICEWX2,A17LA7KM9S0SCS,Submitted,Sat Nov 30 15:59:32 PST 2019,Sat Nov 30 16:17:25 PST 2019,Tue Dec 03 16:17:25 PST 2019,,,,1073,0% (0/0),0% (0/0),0% (0/0),1657,south_park,http://www.imsdb.com/Movie%20Scripts/South%20Park%20Script.html,http://www.imsdb.com/scripts/South-Park.html,https://www.imsdb.com/Movie%20Scripts/South%20Park%20Script.html,South Park Script,,We are sorry to inform you that your annotation was rejected because the IMDb url submitted did not link to an IMDb page.
20,309D674SHZZMQTG6GKB9L04U3K7BCZ,399N3OLPKFJCTR9BWVBMLXMRH83UHZ,Find IMDb url of movie script,Find the IMDb url of the given movie script,"movies, IMDb, IMSDb",$0.02,Sat Nov 30 15:54:42 PST 2019,2,BatchId:3853802;OriginalHitTemplateId:928390855;,3600,259200,Sat Dec 07 15:54:42 PST 2019,,,3IJXV6UZ1YX35NHPUTYNK23E2KYRIX,A16QOW7P7PZPMZ,Submitted,Sat Nov 30 16:41:28 PST 2019,Sat Nov 30 16:41:40 PST 2019,Tue Dec 03 16:41:40 PST 2019,,,,12,0% (0/0),0% (0/0),0% (0/0),33,8_mile,http://www.imsdb.com/Movie%20Scripts/8%20Mile%20Script.html,http://www.imsdb.com/scripts/8-Mile.pdf,https://www.imdb.com/title/tt0298203/,8 Mile,x,
21,309D674SHZZMQTG6GKB9L04U3K7BCZ,399N3OLPKFJCTR9BWVBMLXMRH83UHZ,Find IMDb url of movie script,Find the IMDb url of the given movie script,"movies, IMDb, IMSDb",$0.02,Sat Nov 30 15:54:42 PST 2019,2,BatchId:3853802;OriginalHitTemplateId:928390855;,3600,259200,Sat Dec 07 15:54:42 PST 2019,,,3P1L2B7AD232YBXFN4EWINQ1816OLX,A3NBJ2WSWYJPWY,Submitted,Sat Nov 30 16:12:27 PST 2019,Sat Nov 30 16:13:33 PST 2019,Tue Dec 03 16:13:33 PST 2019,,,,66,0% (0/0),0% (0/0),0% (0/0),33,8_mile,http://www.imsdb.com/Movie%20Scripts/8%20Mile%20Script.html,http://www.imsdb.com/scripts/8-Mile.pdf,https://www.imdb.com/title/tt0298203/?ref_=fn_al_tt_1,8 Mile,x,
22,30EMX9PEVKX3QD9WJJE2Z8R2CH2SKU,399N3OLPKFJCTR9BWVBMLXMRH83UHZ,Find IMDb url of movie script,Find the IMDb url of the given movie script,"movies, IMDb, IMSDb",$0.02,Sat Nov 30 15:54:42 PST 2019,2,BatchId:3853802;OriginalHitTemplateId:928390855;,3600,259200,Sat Dec 07 15:54:42 PST 2019,,,3FDJT1UU75M56V9FXP6WUHDV26X5K7,A10XBQK1L6Z7Z,Submitted,Sat Nov 30 16:20:07 PST 2019,Sat Nov 30 16:20:59 PST 2019,Tue Dec 03 16:20:59 PST 2019,,,,52,0% (0/0),0% (0/0),0% (0/0),27,42,http://www.imsdb.com/Movie%20Scripts/42%20Script.html,http://www.imsdb.com/scripts/42.html,https://www.imdb.com/title/tt0453562/?ref_=fn_al_tt_1,42,x,
23,30EMX9PEVKX3QD9WJJE2Z8R2CH2SKU,399N3OLPKFJCTR9BWVBMLXMRH83UHZ,Find IMDb url of movie script,Find the IMDb url of the given movie script,"movies, IMDb, IMSDb",$0.02,Sat Nov 30 15:54:42 PST 2019,2,BatchId:3853802;OriginalHitTemplateId:928390855;,3600,259200,Sat Dec 07 15:54:42 PST 2019,,,3TY7ZAOG5GY6BONE0J0KDMH4LYL0KG,AE03LUY7RH400,Submitted,Sat Nov 30 16:05:56 PST 2019,Sat Nov 30 16:06:29 PST 2019,Tue Dec 03 16:06:29 PST 2019,,,,33,0% (0/0),0% (0/0),0% (0/0),27,42,http://www.imsdb.com/Movie%20Scripts/42%20Script.html,http://www.imsdb.com/scripts/42.html,https://www.imdb.com/title/tt0453562/?ref_=nv_sr_srsg_0,42,x,
24,30EV7DWJTV9TNK0GGLCQ7BALS7EY69,399N3OLPKFJCTR9BWVBMLXMRH83UHZ,Find IMDb url of movie script,Find the IMDb url of the given movie script,"movies, IMDb, IMSDb",$0.02,Sat Nov 30 15:54:52 PST 2019,2,BatchId:3853802;OriginalHitTemplateId:928390855;,3600,259200,Sat Dec 07 15:54:52 PST 2019,,,39DD6S19JQP0R91U8R29LQ7LJ89EZ3,A30N5H4N4C22N8,Submitted,Sat Nov 30 16:30:18 PST 2019,Sat Nov 30 16:30:51 PST 2019,Tue Dec 03 16:30:51 PST 2019,,,,33,100% (1/1),0% (0/0),0% (0/0),695,foxcatcher,http://www.imsdb.com/Movie%20Scripts/Foxcatcher%20Script.html,http://www.imsdb.com/scripts/Foxcatcher.html,https://www.imdb.com/title/tt1100089/?ref_=nv_sr_srsg_0,Foxcatcher,x,
25,30EV7DWJTV9TNK0GGLCQ7BALS7EY69,399N3OLPKFJCTR9BWVBMLXMRH83UHZ,Find IMDb url of movie script,Find the IMDb url of the given movie script,"movies, IMDb, IMSDb",$0.02,Sat Nov 30 15:54:52 PST 2019,2,BatchId:3853802;OriginalHitTemplateId:928390855;,3600,259200,Sat Dec 07 15:54:52 PST 2019,,,3VZLGYJEYMO9X9SB3WS19FSSZEKZXX,A2ECRNQ3X5LEXD,Submitted,Sat Nov 30 16:33:02 PST 2019,Sat Nov 30 16:33:20 PST 2019,Tue Dec 03 16:33:20 PST 2019,,,,18,0% (0/0),0% (0/0),0% (0/0),695,foxcatcher,http://www.imsdb.com/Movie%20Scripts/Foxcatcher%20Script.html,http://www.imsdb.com/scripts/Foxcatcher.html,https://www.imdb.com/title/tt1100089/,Foxcatcher,x,
26,30EV7DWJTV9TNK0GGLCQ7BALS7F6YI,399N3OLPKFJCTR9BWVBMLXMRH83UHZ,Find IMDb url of movie script,Find the IMDb url of the given movie script,"movies, IMDb, IMSDb",$0.02,Sat Nov 30 15:55:09 PST 2019,2,BatchId:3853802;OriginalHitTemplateId:928390855;,3600,259200,Sat Dec 07 15:55:09 PST 2019,,,37WLF8U1WQ41PZ9T28G1MNRVY1A6KQ,A2ECRNQ3X5LEXD,Submitted,Sat Nov 30 16:46:16 PST 2019,Sat Nov 30 16:46:31 PST 2019,Tue Dec 03 16:46:31 PST 2019,,,,15,0% (0/0),0% (0/0),0% (0/0),2101,willow,http://www.imsdb.com/Movie%20Scripts/Willow%20Script.html,http://www.imsdb.com/scripts/Willow.html,https://www.imdb.com/title/tt0096446/,Willow,x,
27,30EV7DWJTV9TNK0GGLCQ7BALS7F6YI,399N3OLPKFJCTR9BWVBMLXMRH83UHZ,Find IMDb url of movie script,Find the IMDb url of the given movie script,"movies, IMDb, IMSDb",$0.02,Sat Nov 30 15:55:09 PST 2019,2,BatchId:3853802;OriginalHitTemplateId:928390855;,3600,259200,Sat Dec 07 15:55:09 PST 2019,,,3MAOD8E57ROFGKES08H7ESLJP0EXNG,A16QOW7P7PZPMZ,Submitted,Sat Nov 30 16:53:30 PST 2019,Sat Nov 30 16:53:44 PST 2019,Tue Dec 03 16:53:44 PST 2019,,,,14,0% (0/0),0% (0/0),0% (0/0),2101,willow,http://www.imsdb.com/Movie%20Scripts/Willow%20Script.html,http://www.imsdb.com/scripts/Willow.html,https://www.imdb.com/title/tt0096446/,Willow,x,
28,30F94FBDNRY3CAIH266ZAA4YR67TB0,399N3OLPKFJCTR9BWVBMLXMRH83UHZ,Find IMDb url of movie script,Find the IMDb url of the given movie script,"movies, IMDb, IMSDb",$0.02,Sat Nov 30 15:54:51 PST 2019,2,BatchId:3853802;OriginalHitTemplateId:928390855;,3600,259200,Sat Dec 07 15:54:51 PST 2019,,,33CID571057DCM4T46U4UKSQDAAL3Z,A3EFF73I0ME06L,Submitted,Sat Nov 30 16:16:21 PST 2019,Sat Nov 30 16:16:49 PST 2019,Tue Dec 03 16:16:49 PST 2019,,,,28,0% (0/0),0% (0/0),0% (0/0),170,arsenic_and_old_lace,http://www.imsdb.com/Movie%20Scripts/Arsenic%20and%20Old%20Lace%20Script.html,http://www.imsdb.com/scripts/Arsenic-and-Old-Lace.html,https://www.imdb.com/title/tt0482571/?ref_=tt_sims_tt,O Grande Truque,,We are sorry to inform you that your annotation was rejected because the IMDb url submitted did not link to the correct movie
29,30F94FBDNRY3CAIH266ZAA4YR67TB0,399N3OLPKFJCTR9BWVBMLXMRH83UHZ,Find IMDb url of movie script,Find the IMDb url of the given movie script,"movies, IMDb, IMSDb",$0.02,Sat Nov 30 15:54:51 PST 2019,2,BatchId:3853802;OriginalHitTemplateId:928390855;,3600,259200,Sat Dec 07 15:54:51 PST 2019,,,33SA9F9TRY8WXEWPX4I2MMD3265WEV,A3RSUO2VUMM8L4,Submitted,Sat Nov 30 16:38:54 PST 2019,Sat Nov 30 17:01:37 PST 2019,Tue Dec 03 17:01:37 PST 2019,,,,1363,0% (0/0),0% (0/0),0% (0/0),170,arsenic_and_old_lace,http://www.imsdb.com/Movie%20Scripts/Arsenic%20and%20Old%20Lace%20Script.html,http://www.imsdb.com/scripts/Arsenic-and-Old-Lace.html,https://www.imsdb.com/scripts/Arsenic-and-Old-Lace.html,Arsenic and Old Lace,,We are sorry to inform you that your annotation was rejected because the IMDb url submitted did not link to an IMDb page.
